Property_ID,Area_sqft,Bedrooms,Bathrooms,Price,Location
118,2263.0,4.0,4,23521628,Hyderabad
119,2129.0,4.0,3,3254741,Hyderabad
120,2638.0,,1,2630127,Chennai
121,3902.0,2.0,4,7960284,Bangalore
122,2837.0,,2,13630504,Chennai
123,1906.0,3.0,4,23371949,Mumbai
124,4629.0,3.0,1,23201522,Vijayawada
125,3275.0,1.0,3,19228926,Hyderabad
126,1882.0,4.0,4,5807427,Mumbai
127,1309.0,2.0,3,15412274,Mumbai
128,4348.0,1.0,2,21791950,Hyderabad
129,1263.0,4.0,4,19574543,Hyderabad
130,2598.0,,4,15167997,Bangalore
131,4045.0,,2,22288793,Chennai
132,4343.0,2.0,2,10724277,Mumbai
133,2095.0,2.0,2,11065817,Bangalore
134,3904.0,1.0,1,23057867,Bangalore
135,4363.0,5.0,1,1811294,Mumbai
136,2453.0,2.0,4,17054863,Mumbai
137,1891.0,5.0,4,3113955,Vijayawada
138,4181.0,,4,20578564,Chennai
139,4057.0,5.0,3,24569575,Mumbai
140,2236.0,3.0,2,15372512,Hyderabad
141,4296.0,5.0,4,6534971,Vijayawada
142,3599.0,2.0,2,23555668,Chennai
143,3752.0,1.0,1,11757668,Hyderabad
144,1298.0,2.0,2,17327633,Hyderabad
145,2760.0,3.0,3,22820727,Chennai
146,4697.0,2.0,3,17135118,Vijayawada
147,1454.0,2.0,2,21345905,Hyderabad
148,4074.0,2.0,3,4019379,Bangalore
149,2307.0,4.0,3,17724667,Chennai
150,3377.0,3.0,1,22525053,Chennai
151,2333.0,2.0,4,16859488,Mumbai
152,4110.0,2.0,3,24430517,Vijayawada
153,802.0,2.0,4,16963249,Bangalore
154,3855.0,1.0,2,15312141,Bangalore
155,4818.0,4.0,2,2668964,Mumbai
156,1366.0,1.0,3,7558014,Hyderabad
157,4989.0,4.0,2,15254970,Hyderabad
158,2927.0,2.0,1,9094968,Bangalore
159,3531.0,3.0,3,13121724,Vijayawada
160,797.0,5.0,3,7391966,Hyderabad
161,2530.0,5.0,3,24114427,Chennai
162,4182.0,2.0,2,5629295,Mumbai
163,1208.0,1.0,2,5467924,Vijayawada
164,3872.0,3.0,3,5402859,Hyderabad
165,1747.0,4.0,4,22461953,Bangalore
166,4882.0,2.0,2,8444758,Mumbai
167,3997.0,3.0,2,22584596,Hyderabad
168,3111.0,3.0,3,4318710,Bangalore
169,2394.0,4.0,4,22234316,Hyderabad
170,,3.0,3,11008976,Mumbai
171,3411.0,1.0,2,12407408,Chennai
172,1969.0,1.0,3,18126836,Chennai
173,2586.0,1.0,3,10683613,Bangalore
174,746.0,3.0,3,17768510,Chennai
175,3819.0,1.0,4,21559394,Mumbai
176,3511.0,4.0,3,14934640,Bangalore
177,2334.0,3.0,2,24188956,Hyderabad
178,2443.0,5.0,3,14410897,Vijayawada
179,1088.0,3.0,4,3094745,Hyderabad
180,3576.0,4.0,1,7449782,Mumbai
181,2559.0,5.0,4,6283877,Bangalore
182,2985.0,3.0,3,6802427,Hyderabad
183,3519.0,1.0,1,8847965,Bangalore
184,2402.0,2.0,3,24143090,Chennai
185,4661.0,2.0,4,12457413,Vijayawada
186,3969.0,1.0,1,7667324,Mumbai
187,862.0,,1,17211894,Hyderabad
188,1223.0,2.0,3,12856782,Vijayawada
189,1616.0,1.0,3,15500031,Mumbai
190,4243.0,1.0,4,7966138,Mumbai
191,2649.0,3.0,3,2868240,Chennai
192,4323.0,3.0,1,7271712,Bangalore
193,3708.0,,2,6702662,Bangalore
194,4690.0,4.0,2,13237018,Vijayawada
195,2656.0,2.0,4,17411212,Chennai
196,3770.0,3.0,3,11822670,Mumbai
197,2282.0,2.0,4,3491524,Chennai
198,2855.0,5.0,2,9327327,Chennai
199,1754.0,,2,6668394,Vijayawada
200,3791.0,4.0,3,21840949,Bangalore
201,,5.0,1,8186289,Chennai
202,4591.0,5.0,3,17363045,Chennai
203,2248.0,5.0,2,20414370,Chennai
204,2045.0,1.0,1,10144157,Hyderabad
205,4799.0,3.0,4,11680232,Chennai
206,4523.0,1.0,2,18652210,Chennai
207,,3.0,4,19980091,Mumbai
208,3783.0,5.0,1,8437292,Hyderabad
209,3157.0,5.0,4,22426501,Chennai
210,698.0,4.0,2,9307604,Chennai
211,2800.0,3.0,3,20055866,Vijayawada
212,3561.0,5.0,4,8907293,Vijayawada
213,4377.0,2.0,2,13314957,Hyderabad
214,3469.0,4.0,2,4299045,Mumbai
215,3834.0,1.0,1,9792005,Hyderabad
216,4391.0,4.0,2,11057706,Hyderabad
217,1556.0,2.0,3,8084016,Vijayawada
218,4667.0,3.0,3,15691351,Vijayawada
219,760.0,,4,6168710,Mumbai
220,,1.0,4,3149478,Chennai
221,4587.0,3.0,4,11030750,Mumbai
222,2127.0,4.0,4,7677792,Chennai
223,1818.0,5.0,3,9383679,Bangalore
224,3704.0,4.0,1,6096218,Vijayawada
225,3335.0,2.0,4,23721560,Bangalore
226,1554.0,5.0,1,7491303,Bangalore
227,4046.0,4.0,2,6651300,Vijayawada
228,1645.0,3.0,2,13502333,Bangalore
229,2293.0,2.0,4,4762983,Hyderabad
230,4036.0,2.0,2,14120267,Chennai
231,1162.0,2.0,1,10974874,Mumbai
232,3085.0,5.0,1,5076758,Vijayawada
233,3954.0,1.0,2,5332733,Hyderabad
234,825.0,5.0,4,2240174,Mumbai
235,1559.0,4.0,1,1703811,Mumbai
236,3667.0,1.0,1,19906710,Mumbai
237,1415.0,4.0,3,22650763,Bangalore
238,3720.0,1.0,4,11483130,Bangalore
239,616.0,,3,16697260,Bangalore
240,1843.0,2.0,2,7262637,Bangalore
241,2805.0,3.0,2,17467844,Hyderabad
242,3124.0,2.0,3,14360853,Bangalore
243,1669.0,5.0,4,8545158,Vijayawada
244,4044.0,1.0,1,7756878,Mumbai
245,3165.0,2.0,2,7057260,Hyderabad
246,1660.0,5.0,4,18807769,Bangalore
247,2927.0,4.0,4,24040431,Mumbai
248,4020.0,3.0,2,5295627,Hyderabad
249,,2.0,2,2751782,Mumbai
250,4876.0,1.0,4,20344015,Hyderabad
251,1206.0,4.0,1,17180246,Chennai
252,3770.0,5.0,3,15052684,Hyderabad
253,1299.0,3.0,2,3230934,Bangalore
254,1739.0,1.0,3,23611522,Mumbai
255,790.0,5.0,4,12997678,Mumbai
256,2900.0,5.0,3,11916027,Mumbai
257,1580.0,2.0,1,19733314,Vijayawada
258,3575.0,2.0,4,16691997,Vijayawada
259,1784.0,,1,21565901,Bangalore
260,3927.0,5.0,4,14913170,Chennai
261,3994.0,2.0,1,22347891,Vijayawada
262,727.0,3.0,4,9985983,Hyderabad
263,2665.0,3.0,1,3319941,Bangalore
264,2416.0,5.0,4,5449244,Chennai
265,1169.0,2.0,1,21774535,Hyderabad
266,2495.0,1.0,4,16708735,Mumbai
267,3333.0,1.0,1,20466681,Vijayawada
268,4463.0,1.0,2,9968902,Hyderabad
269,4614.0,3.0,3,3748753,Chennai
270,3501.0,2.0,4,13748270,Bangalore
271,2286.0,,1,15875475,Hyderabad
272,3609.0,3.0,2,18661045,Bangalore
273,754.0,1.0,4,8936949,Mumbai
274,3137.0,1.0,4,24861748,Chennai
275,2009.0,5.0,4,23784148,Chennai
276,4657.0,4.0,3,19299978,Vijayawada
277,1384.0,2.0,1,8298161,Chennai
278,3775.0,2.0,1,15555062,Hyderabad
279,4941.0,2.0,4,18831916,Hyderabad
280,3406.0,4.0,4,16046239,Hyderabad
281,,,4,9710174,Mumbai
282,2441.0,4.0,2,22725448,Chennai
283,3055.0,1.0,4,19128806,Chennai
284,1124.0,1.0,3,2710280,Hyderabad
285,3550.0,2.0,1,18309525,Vijayawada
286,,3.0,3,14878624,Vijayawada
287,4715.0,2.0,4,18317665,Chennai
288,2968.0,3.0,2,15087587,Chennai
289,4447.0,4.0,4,11629439,Bangalore
290,3301.0,1.0,4,8408801,Chennai
291,1571.0,3.0,4,20879442,Hyderabad
292,1766.0,4.0,4,6293485,Mumbai
293,3374.0,1.0,4,19782131,Chennai
294,2582.0,3.0,1,6368073,Chennai
295,1453.0,2.0,3,8634855,Hyderabad
296,4746.0,2.0,2,15656763,Bangalore
297,4336.0,2.0,4,24492062,Chennai
298,4369.0,4.0,2,21621517,Vijayawada
299,1174.0,2.0,1,24805364,Vijayawada
300,3861.0,5.0,3,11425127,Vijayawada
301,1748.0,1.0,4,6068798,Mumbai
302,2315.0,4.0,1,3401412,Mumbai
303,4454.0,2.0,1,18393967,Chennai
304,3091.0,1.0,3,18143879,Chennai
305,3260.0,3.0,4,9794682,Chennai
306,3724.0,2.0,3,11621576,Mumbai
307,3651.0,1.0,3,21477250,Chennai
308,604.0,5.0,2,3816400,Hyderabad
309,1476.0,3.0,2,2669715,Bangalore
310,1591.0,5.0,3,9382638,Vijayawada
311,4742.0,1.0,2,21325716,Vijayawada
312,4964.0,5.0,1,9123760,Hyderabad
313,1235.0,1.0,3,7282337,Chennai
314,2293.0,1.0,4,6768848,Mumbai
315,2282.0,5.0,4,5569617,Chennai
316,719.0,1.0,1,24773502,Chennai
317,1430.0,2.0,4,24429212,Vijayawada
318,4275.0,,4,22062623,Vijayawada
319,1969.0,4.0,3,16414920,Mumbai
320,1340.0,1.0,1,17596865,Vijayawada
321,716.0,4.0,3,6805377,Chennai
322,3438.0,1.0,1,13563986,Hyderabad
323,1750.0,,3,23357206,Mumbai
324,2531.0,5.0,3,24112738,Hyderabad
325,1612.0,2.0,2,3633520,Chennai
326,,2.0,4,5738413,Mumbai
327,1681.0,3.0,1,19514509,Hyderabad
328,1112.0,5.0,4,19181280,Mumbai
329,3449.0,,2,7306191,Chennai
330,1159.0,2.0,1,17613052,Mumbai
331,4272.0,5.0,2,9292515,Chennai
332,3943.0,2.0,4,15287452,Mumbai
333,4670.0,5.0,3,18205376,Mumbai
334,2070.0,1.0,2,4110320,Vijayawada
335,1180.0,2.0,2,13929979,Chennai
336,2894.0,2.0,3,15750673,Bangalore
337,3747.0,4.0,4,10865337,Mumbai
338,4849.0,5.0,2,2171367,Hyderabad
339,2279.0,,4,7346945,Vijayawada
340,4106.0,2.0,3,20288369,Vijayawada
341,3344.0,1.0,1,4997914,Mumbai
342,3956.0,,2,23341050,Bangalore
343,4645.0,1.0,4,13578863,Vijayawada
344,1843.0,5.0,3,1956185,Chennai
345,3718.0,4.0,3,10978475,Mumbai
346,2741.0,2.0,2,2587381,Mumbai
347,3659.0,3.0,1,2647407,Bangalore
348,3559.0,4.0,2,20523883,Chennai
349,,3.0,4,18286506,Chennai
350,,4.0,3,17622067,Bangalore
351,2235.0,1.0,1,7088658,Hyderabad
352,2357.0,5.0,4,5779490,Chennai
353,2670.0,3.0,2,3350123,Hyderabad
354,3449.0,4.0,3,19855229,Hyderabad
355,3851.0,5.0,2,24848532,Mumbai
356,4330.0,3.0,1,13918492,Mumbai
357,3089.0,2.0,1,15669397,Vijayawada
358,2231.0,4.0,1,10673696,Mumbai
359,3416.0,2.0,1,20286096,Chennai
360,1615.0,1.0,1,16104035,Chennai
361,1948.0,2.0,2,3365407,Hyderabad
362,3687.0,2.0,1,18160146,Chennai
363,3439.0,4.0,1,23825338,Mumbai
364,935.0,1.0,3,11769127,Mumbai
365,1495.0,2.0,1,15446875,Mumbai
366,4146.0,5.0,3,3974427,Bangalore
367,1451.0,3.0,3,11461174,Chennai
368,2287.0,2.0,3,6509486,Vijayawada
369,2531.0,1.0,2,4868410,Chennai
370,4346.0,2.0,2,2434814,Chennai
371,3027.0,3.0,4,6432206,Bangalore
372,2168.0,1.0,4,18001725,Chennai
373,,4.0,3,16797782,Hyderabad
374,3338.0,1.0,2,7906377,Mumbai
375,4098.0,,1,9416163,Mumbai
376,4513.0,1.0,4,4262734,Bangalore
377,1666.0,3.0,2,22429770,Mumbai
378,4980.0,3.0,1,21323381,Hyderabad
379,3044.0,1.0,1,12117218,Bangalore
380,4707.0,2.0,2,9690798,Vijayawada
381,3973.0,3.0,4,12026638,Mumbai
382,4569.0,4.0,2,7992197,Chennai
383,3146.0,4.0,4,15300909,Hyderabad
384,1353.0,5.0,3,22178575,Hyderabad
385,2682.0,4.0,2,18168096,Mumbai
386,3374.0,,2,2488807,Vijayawada
387,3496.0,1.0,4,15566225,Chennai
388,4785.0,1.0,4,12815081,Vijayawada
389,1375.0,1.0,2,7281801,Vijayawada
390,2225.0,2.0,1,20960900,Mumbai
391,3669.0,2.0,1,16047097,Chennai
392,1017.0,5.0,1,11873851,Mumbai
393,714.0,4.0,3,16370155,Mumbai
394,1216.0,4.0,3,22166416,Hyderabad
395,4574.0,1.0,4,15477229,Mumbai
396,3867.0,3.0,3,10589069,Bangalore
397,1425.0,2.0,1,2200066,Chennai
398,2116.0,2.0,2,22486635,Hyderabad
399,3746.0,1.0,3,6818259,Chennai
400,1012.0,2.0,3,6976433,Hyderabad
401,1328.0,1.0,1,18841483,Bangalore
402,3948.0,5.0,3,4293153,Mumbai
403,3408.0,4.0,4,16773729,Hyderabad
404,1275.0,3.0,2,5422874,Hyderabad
405,4065.0,4.0,1,16570993,Hyderabad
406,3104.0,4.0,4,14055029,Bangalore
407,3567.0,5.0,1,6350258,Chennai
408,3386.0,2.0,4,6122900,Bangalore
409,1722.0,3.0,2,22428727,Hyderabad
410,4679.0,2.0,2,5038236,Hyderabad
411,2171.0,4.0,4,24404035,Mumbai
412,2743.0,1.0,4,20359480,Bangalore
413,2287.0,4.0,4,23114051,Bangalore
414,4732.0,2.0,4,19886206,Vijayawada
415,4451.0,4.0,4,4201822,Chennai
416,4040.0,1.0,4,21645729,Vijayawada
417,4366.0,5.0,2,15034098,Vijayawada
418,2926.0,2.0,4,20916884,Chennai
419,3514.0,4.0,3,19063742,Mumbai
420,4552.0,2.0,2,13114972,Mumbai
421,1195.0,5.0,1,7153526,Chennai
422,1328.0,4.0,2,18181715,Chennai
423,1965.0,4.0,1,8894518,Bangalore
424,1298.0,2.0,1,3578850,Bangalore
425,995.0,2.0,3,16897718,Bangalore
426,4771.0,1.0,4,12246003,Bangalore
427,4960.0,5.0,4,15676636,Hyderabad
428,3102.0,1.0,2,2876807,Hyderabad
429,,4.0,4,9241734,Mumbai
430,1317.0,2.0,3,13083943,Hyderabad
431,3382.0,4.0,2,17087299,Hyderabad
432,4177.0,4.0,2,17924078,Bangalore
433,743.0,3.0,2,20036484,Bangalore
434,3740.0,3.0,4,20871705,Chennai
435,3538.0,4.0,4,20297828,Bangalore
436,4236.0,2.0,4,20102214,Chennai
437,3822.0,4.0,2,14304349,Chennai
438,1767.0,3.0,2,8317064,Hyderabad
439,3216.0,2.0,1,2375475,Bangalore
440,1662.0,4.0,1,1801065,Hyderabad
441,,5.0,4,11992349,Bangalore
442,3582.0,5.0,2,11919097,Hyderabad
443,3894.0,4.0,4,12865187,Hyderabad
444,1756.0,2.0,4,12022135,Hyderabad
445,1332.0,4.0,1,12028845,Mumbai
446,4930.0,4.0,3,23056648,Hyderabad
447,1553.0,3.0,4,16878624,Vijayawada
448,3139.0,5.0,3,9463024,Vijayawada
449,3924.0,3.0,3,9784268,Vijayawada
450,3901.0,3.0,2,4480631,Chennai
451,2142.0,4.0,2,16071418,Hyderabad
452,1791.0,3.0,4,17259622,Vijayawada
453,3593.0,5.0,1,11783336,Chennai
454,3281.0,3.0,1,4531402,Vijayawada
455,1817.0,5.0,4,4936386,Bangalore
456,2140.0,3.0,4,1695961,Mumbai
457,3836.0,5.0,1,9237099,Hyderabad
458,2986.0,3.0,3,5246050,Mumbai
459,4319.0,3.0,4,5626030,Mumbai
460,1988.0,2.0,3,21783476,Bangalore
461,2456.0,5.0,4,11393385,Bangalore
462,1965.0,5.0,4,20419213,Bangalore
463,1099.0,5.0,3,5579162,Chennai
464,2280.0,1.0,3,15239905,Vijayawada
465,1110.0,,1,7904892,Hyderabad
466,4912.0,5.0,4,4929031,Bangalore
467,1924.0,1.0,2,16269852,Hyderabad
468,1755.0,2.0,2,9388323,Hyderabad
469,2427.0,5.0,4,21004378,Hyderabad
470,3741.0,5.0,4,13270780,Bangalore
471,4086.0,1.0,4,17250845,Bangalore
472,2410.0,3.0,3,24271515,Vijayawada
473,3523.0,2.0,2,9421275,Bangalore
474,2814.0,5.0,2,11702707,Bangalore
475,4786.0,3.0,2,16449672,Hyderabad
476,1313.0,2.0,4,13772342,Vijayawada
477,4202.0,4.0,3,16383793,Mumbai
478,4734.0,4.0,4,10160592,Bangalore
479,4122.0,2.0,1,22967352,Bangalore
480,4868.0,1.0,1,10191520,Mumbai
481,1843.0,2.0,2,19084575,Hyderabad
482,4309.0,2.0,4,17187502,Vijayawada
483,1681.0,1.0,1,20210846,Hyderabad
484,1055.0,1.0,1,4661057,Chennai
485,1494.0,3.0,4,19341583,Bangalore
486,1984.0,3.0,3,11328213,Chennai
487,2558.0,1.0,4,21044100,Bangalore
488,3672.0,4.0,4,23503263,Chennai
489,2596.0,4.0,3,12116196,Mumbai
490,4885.0,2.0,2,23607169,Bangalore
491,1104.0,5.0,2,2599984,Bangalore
492,1814.0,2.0,2,16596983,Chennai
493,2131.0,2.0,3,11083490,Vijayawada
494,4040.0,5.0,1,24707276,Chennai
495,1423.0,1.0,3,16154662,Bangalore
496,1528.0,4.0,4,3894712,Bangalore
497,733.0,2.0,3,2621015,Vijayawada
498,2705.0,,1,10431138,Hyderabad
499,4227.0,3.0,1,12691374,Vijayawada
500,2452.0,2.0,4,11802940,Hyderabad
501,4775.0,4.0,2,11823740,Bangalore
502,,1.0,1,8672937,Mumbai
503,3884.0,2.0,1,21662591,Mumbai
504,,2.0,1,19148726,Chennai
505,3411.0,5.0,4,8085894,Vijayawada
506,1850.0,3.0,1,6091204,Vijayawada
507,4112.0,3.0,2,6111315,Mumbai
508,1856.0,1.0,4,8308807,Hyderabad
509,3976.0,4.0,2,22613023,Vijayawada
510,4086.0,1.0,1,9308915,Hyderabad
511,4184.0,2.0,1,18628987,Hyderabad
512,1996.0,2.0,2,12076141,Hyderabad
513,4237.0,3.0,4,6046475,Hyderabad
514,3930.0,4.0,4,10745406,Chennai
515,3303.0,5.0,2,9982784,Chennai
516,1070.0,4.0,1,15775443,Mumbai
517,,2.0,3,10223622,Chennai
518,3383.0,5.0,2,14654587,Vijayawada
519,3431.0,4.0,2,10684344,Chennai
520,957.0,4.0,2,9346431,Vijayawada
521,3619.0,5.0,1,3352040,Vijayawada
522,1267.0,,4,2399321,Hyderabad
523,1745.0,4.0,1,8899518,Mumbai
524,4785.0,5.0,2,5235568,Hyderabad
525,4319.0,,1,17171412,Hyderabad
526,3345.0,5.0,1,4020022,Chennai
527,1139.0,5.0,2,21462188,Chennai
528,3379.0,4.0,1,20425065,Vijayawada
529,4736.0,2.0,3,7655343,Chennai
530,4375.0,4.0,1,22212069,Chennai
531,3108.0,1.0,1,15212586,Bangalore
532,3379.0,1.0,4,18264921,Vijayawada
533,1524.0,2.0,4,9370579,Vijayawada
534,3556.0,5.0,2,21018402,Bangalore
535,2181.0,4.0,2,12103688,Vijayawada
536,3924.0,4.0,4,16053934,Mumbai
537,855.0,2.0,3,6790299,Mumbai
538,2438.0,,1,19644041,Bangalore
539,2544.0,1.0,3,14279891,Chennai
540,609.0,3.0,3,5328471,Mumbai
541,3471.0,2.0,4,3620556,Bangalore
542,1397.0,3.0,2,17039152,Mumbai
543,1615.0,2.0,1,11404283,Hyderabad
544,2424.0,5.0,2,9989573,Bangalore
545,3736.0,5.0,3,22003564,Vijayawada
546,2793.0,1.0,3,4816219,Mumbai
547,823.0,1.0,2,9467502,Vijayawada
548,4758.0,3.0,2,17602179,Bangalore
549,4525.0,2.0,4,24001390,Mumbai
550,4600.0,,2,14191181,Vijayawada
551,2233.0,1.0,2,4457428,Chennai
552,2752.0,4.0,4,14994327,Chennai
553,,4.0,2,7825598,Hyderabad
554,984.0,2.0,3,19946306,Bangalore
555,1004.0,3.0,2,17498177,Vijayawada
556,2600.0,2.0,1,12088041,Hyderabad
557,,1.0,3,15553597,Bangalore
558,2268.0,4.0,4,15665164,Chennai
559,2060.0,2.0,3,19388761,Vijayawada
560,4236.0,2.0,4,13595284,Mumbai
561,3324.0,2.0,1,9977852,Chennai
562,4778.0,1.0,1,21316598,Mumbai
563,2648.0,3.0,3,8548369,Mumbai
564,4746.0,,2,10082676,Vijayawada
565,1316.0,1.0,3,17868298,Vijayawada
566,2423.0,4.0,3,18186312,Mumbai
567,2681.0,5.0,1,2157739,Hyderabad
568,4019.0,1.0,4,19552637,Mumbai
569,2174.0,5.0,3,24393874,Mumbai
570,849.0,2.0,2,2196480,Vijayawada
571,1273.0,2.0,1,11217137,Bangalore
572,2765.0,1.0,3,23441837,Chennai
573,1370.0,5.0,3,8718708,Vijayawada
574,,2.0,2,17252064,Hyderabad
575,,4.0,3,24524112,Chennai
576,2584.0,3.0,3,8732874,Vijayawada
577,1677.0,,3,16931027,Vijayawada
578,835.0,2.0,3,20220635,Bangalore
579,988.0,5.0,2,22884227,Hyderabad
580,3637.0,2.0,3,21603470,Hyderabad
581,2448.0,5.0,3,20706581,Vijayawada
582,3414.0,4.0,3,17411637,Bangalore
583,3974.0,5.0,1,21249919,Vijayawada
584,3878.0,2.0,2,3887117,Mumbai
585,1852.0,4.0,1,17062293,Mumbai
586,4581.0,1.0,1,19297792,Bangalore
587,2722.0,3.0,2,18962521,Vijayawada
588,2750.0,2.0,1,17114952,Bangalore
589,1929.0,2.0,1,13455962,Vijayawada
590,1958.0,2.0,1,18734198,Vijayawada
591,3082.0,4.0,2,14308874,Mumbai
592,2617.0,1.0,3,16689686,Chennai
593,1931.0,5.0,4,20774753,Hyderabad
594,4944.0,1.0,4,7700513,Hyderabad
595,4861.0,4.0,2,15491077,Bangalore
596,1958.0,,4,10416726,Hyderabad
597,3777.0,,2,11096013,Mumbai
598,2728.0,2.0,2,13098203,Chennai
599,2780.0,5.0,4,15036066,Vijayawada
600,737.0,3.0,1,4286278,Vijayawada
601,4072.0,2.0,3,3367427,Mumbai
602,3432.0,3.0,4,14886012,Hyderabad
603,4179.0,1.0,4,14396368,Vijayawada
604,3631.0,,4,22081369,Hyderabad
605,4764.0,2.0,4,11178636,Mumbai
606,3193.0,5.0,2,24243535,Vijayawada
607,4900.0,1.0,2,8391313,Bangalore
608,4418.0,2.0,3,1816096,Chennai
609,,1.0,3,4572721,Hyderabad
610,4423.0,5.0,4,4662557,Hyderabad
611,,2.0,4,6671943,Hyderabad
